vmID;vCPU;vMem;DimDataInstance
aljerpdev ;8;49.4;D8s_v3 
aljerpprd1 ;8;65.9;D8s_v3 
aljerpprd2 ;4;65.9;D4s_v3 
aljerpprda1 ;16;65.9;D16s_v3 
aljerpprda10 ;16;65.9;D16s_v3 
aljerpprda2 ;16;65.9;D16s_v3 
aljerpprda3 ;16;65.9;D16s_v3 
aljerpprda4 ;16;65.9;D16s_v3 
aljerpprda5 ;16;65.9;D16s_v3 
aljerpprda6 ;16;65.9;D16s_v3 
aljerpprda7 ;16;65.9;D16s_v3 
aljerpprda8 ;16;65.9;D16s_v3 
aljerpprda9 ;16;65.9;D16s_v3 
aljerpprddb ;64;297.2;D64s_v3 
aljerpprddbc ;64;297.1;D64s_v3 
aljerpprdpas ;16;65.9;D16s_v3 
aljerpprdspl ;4;16.4;D4s_v3 
ALJERPQA ;24;99;D32s_v3 
aljerpqaa1 ;16;65.9;D16s_v3 
aljerpqaa2 ;16;65.9;D16s_v3 
aljerpsu ;24;99;D32s_v3 
aljerptrn ;4;32.9;D4s_v3 
aljsapnfs ;16;66;D4s_v3 
aljsapprdnfs ;8;32.9;D8s_v3 
aljscmdev ;4;99;D4s_v3 
aljscmprd1 ;8;198.1;D8s_v3 
aljscmprd2 ;8;198.1;D8s_v3 
aljscmprda1 ;32;65.9;D32s_v3 
aljscmprda2 ;32;132;D32s_v3 
aljscmprddb ;80;99;D64s_v3 
aljscmprddbc ;80;99;D64s_v3 
aljscmprdpas ;24;99;D32s_v3 
ALJSCMQA ;80;132;D64s_v3 
aljscmqaa1 ;24;66;D32s_v3 
aljscmqaa2 ;24;32.9;D32s_v3 
aljscmqaa3 ;24;32.9;D32s_v3 
aljscmsu ;48;32.9;D64s_v3 
aljotprd ;16;32.9;D8s_v3 
aljnlsdev ;16;32.9;D16s_v3 
aljnlsprd ;16;32.9;D16s_v3 
aljsccdev ;16;32.9;D4s_v3 
aljsccmprd ;24;132;D4s_v3 
aljsccqa ;24;132;D4s_v3 
aljsccsprd ;16;32.9;D2s_v3 
ALJWPBPRD ;16;32.9;D4s_v3 
aljcpdev ;16;32.9;D4s_v3 
aljcpprdn1 ;4;32.9;D4s_v3 
aljcpprdn2 ;8;32.9;D4s_v3 
aljcpqa ;8;32.9;D4s_v3 
aljhcmdev ;16;66;D16s_v3 
aljhcmprd1 ;8;32.9;D8s_v3 
aljhcmprd2 ;8;32.9;D8s_v3 
aljhcmprda1 ;12;65.9;D16s_v3 
aljhcmprda2 ;12;65.9;D16s_v3 
aljhcmprda3 ;12;65.9;D16s_v3 
aljhcmprda4 ;12;65.9;D16s_v3 
aljhcmprddb ;32;132;D32s_v3 
aljhcmprddbc ;32;132;D32s_v3 
aljhcmprdpas ;16;99;D16s_v3 
aljhcmqa ;16;66;D16s_v3 
aljhcmsu ;16;66;D16s_v3 
aljcrmdev ;8;32.9;D8s_v3 
aljcrmprd1 ;8;32.9;D8s_v3 
aljcrmprd2 ;8;32.9;D8s_v3 
aljcrmprda1 ;16;32.9;D16s_v3 
aljcrmprda2 ;16;32.9;D16s_v3 
aljcrmprda3 ;16;32.9;D16s_v3 
aljcrmprda4 ;16;32.9;D16s_v3 
aljcrmprddb ;24;132;D32s_v3 
aljcrmprddbc ;24;132;D32s_v3 
aljcrmprdpas ;16;32.9;D16s_v3 
aljcrmqa ;16;32.9;D16s_v3 
aljcrmsu ;16;32.9;D16s_v3 
aljlcdev ;4;32.9;D4s_v3 
aljlcprd1 ;24;65.9;D32s_v3 
ALJLCQA ;16;66;D16s_v3 
aljlcsu ;16;66;D16s_v3 
aljtrxdev ;4;32.9;D4s_v3 
aljtrxprd1 ;16;32.9;D16s_v3 
ALJTRXQA ;8;32.9;D8s_v3 
aljewmdev ;4;32.9;D4s_v3 
aljewmprd1 ;4;32.9;D4s_v3 
aljewmprd2 ;4;32.9;D4s_v3 
aljewmprda1 ;8;32.9;D8s_v3 
aljewmprda2 ;8;32.9;D8s_v3 
aljewmprda3 ;8;32.9;D8s_v3 
aljewmprda4 ;8;32.9;D8s_v3 
aljewmprddb ;16;65.9;D16s_v3 
aljewmprddbc ;16;65.9;D16s_v3 
aljewmprdpas ;16;32.9;D16s_v3 
ALJEWMQA ;16;66;D16s_v3 
aljewmsu ;16;66;D16s_v3 
aljbidev ;4;66;D4s_v3 
aljbiprd1 ;16;65.9;D16s_v3 
aljbiprd2 ;16;65.9;D16s_v3 
aljbiprda1 ;16;65.9;D16s_v3 
aljbiprda2 ;16;65.9;D16s_v3 
aljbiprddbn1 ;64;1056.8;M64s 
aljbiprddbn2 ;64;1056.8;M64s 
aljbiprdpas ;16;65.9;D16s_v3 
aljbiqa ;8;66;D8s_v3 
aljbiqadb ;64;528.4;M64ls 
aljbisu ;8;66;D8s_v3 
aljbisudb ;64;528.4;M64ls 
aljsltdev ;16;32.9;D16s_v3 
aljsltprd1 ;16;32.9;D16s_v3 
aljsltprd2 ;16;32.9;D16s_v3 
aljsltprddb ;8;66;D8s_v3 
aljsltprddbc ;8;65.9;D8s_v3 
aljsltprdpas ;4;32.9;D4s_v3 
aljsltqa ;16;32.9;D16s_v3 
ALJBODEV ;4;34.4;D4s_v3 
ALJBOPRDA1 ;8;68.7;D8s_v3 
ALJBOPRDA2 ;8;68.7;D8s_v3 
ALJBOPRDDB1 ;8;34.4;D8s_v3 
ALJBOPRDDB2 ;8;34.4;D8s_v3 
ALJBOPRDP1 ;32;85.9;D32s_v3 
ALJBOPRDP2 ;32;85.9;D32s_v3 
ALJBOQA ;4;34.4;D4s_v3 
ALJBOSU ;4;34.4;D4s_v3 
aljpidev ;4;16.4;D4s_v3 
aljpiprd1 ;8;65.9;D8s_v3 
aljpiprd2 ;8;66;D8s_v3 
aljpiprddb ;4;32.9;D4s_v3 
aljpiprddbc ;4;32.9;D4s_v3 
aljpiprdpas ;4;32.9;D4s_v3 
aljpiqa ;24;66;D32s_v3 
aljgrcdev ;4;32.9;D4s_v3 
aljgrcprd1 ;4;32.9;D4s_v3 
aljgrcprd2 ;4;32.9;D4s_v3 
aljgrcprda1 ;4;32.9;D4s_v3 
aljgrcprda2 ;4;32.9;D4s_v3 
aljgrcprddb ;12;32.9;D16s_v3 
aljgrcprddbc ;12;32.9;D16s_v3 
aljgrcprdpas ;2;16.4;D2s_v3 
aljgrcqa ;4;32.9;D4s_v3 
ALJGRCSND ;4;12.2;D4s_v3 
aljepdev ;4;32.9;D4s_v3 
aljepprd1 ;8;65.9;D8s_v3 
aljepprd2 ;8;65.9;D8s_v3 
aljepprddb ;4;32.9;D4s_v3 
aljepprddbc ;4;32.9;D4s_v3 
aljepprdpas ;4;32.9;D4s_v3 
aljepqa ;8;32.9;D8s_v3 
aljepsnd ;8;32.9;D8s_v3 
