,vmID,vCPU,vMem,DimDataInstance,vSAPS,targetVM,Error,tCPU,tMem,tSAPS
0,aljerpdev ,8,49.4,D8s_v3 ,0,DS13,1.4437747191732213e-06,8.0,56.0,9300.0
1,aljerpprd1 ,8,65.9,D8s_v3 ,0,E8s_v3,1.1965166979374053e-07,8.0,64.0,8710.0
2,aljerpprd2 ,4,65.9,D4s_v3 ,0,E8-4s_v3,1.1965166979374053e-07,4.0,64.0,4378.0
3,aljerpprda1 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
4,aljerpprda10 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
5,aljerpprda2 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
6,aljerpprda3 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
7,aljerpprda4 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
8,aljerpprda5 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
9,aljerpprda6 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
10,aljerpprda7 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
11,aljerpprda8 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
12,aljerpprda9 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
13,aljerpprddb ,64,297.2,D64s_v3 ,0,D64s_v3,5.626081173814033e-05,64.0,256.0,69680.0
14,aljerpprddbc ,64,297.1,D64s_v3 ,0,D64s_v3,5.598803244661613e-05,64.0,256.0,69680.0
15,aljerpprdpas ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
16,aljerpprdspl ,4,16.4,D4s_v3 ,0,D4s_v3,5.303121098891528e-09,4.0,16.0,4355.0
17,ALJERPQA ,24,99.0,D32s_v3 ,0,DS15_v2,0.0005596211818552569,20.0,140.0,30430.0
18,aljerpqaa1 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
19,aljerpqaa2 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
20,aljerpsu ,24,99.0,D32s_v3 ,0,DS15_v2,0.0005596211818552569,20.0,140.0,30430.0
21,aljerptrn ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
22,aljsapnfs ,16,66.0,D4s_v3 ,0,D16s_v3,1.3257802747228818e-07,16.0,64.0,17420.0
23,aljsapprdnfs ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
24,aljscmdev ,4,99.0,D4s_v3 ,0,E8-4s_v3,4.060202091338835e-05,4.0,64.0,4378.0
25,aljscmprd1 ,8,198.1,D8s_v3 ,0,M8ms,1.4477852045042576e-05,8.0,219.0,8616.0
26,aljscmprd2 ,8,198.1,D8s_v3 ,0,M8ms,1.4477852045042576e-05,8.0,219.0,8616.0
27,aljscmprda1 ,32,65.9,D32s_v3 ,0,D32s_v3,0.00012781880773110208,32.0,128.0,34840.0
28,aljscmprda2 ,32,132.0,D32s_v3 ,0,D32s_v3,5.303121098891527e-07,32.0,128.0,34840.0
29,aljscmprddb ,80,99.0,D64s_v3 ,0,D64s_v3,0.00887946320275156,64.0,256.0,69680.0
30,aljscmprddbc ,80,99.0,D64s_v3 ,0,D64s_v3,0.00887946320275156,64.0,256.0,69680.0
31,aljscmprdpas ,24,99.0,D32s_v3 ,0,DS15_v2,0.0005596211818552569,20.0,140.0,30430.0
32,ALJSCMQA ,80,132.0,D64s_v3 ,0,D64s_v3,0.008572114190563926,64.0,256.0,69680.0
33,aljscmqaa1 ,24,66.0,D32s_v3 ,0,DS15_v2,0.0006854045854195907,20.0,140.0,30430.0
34,aljscmqaa2 ,24,32.9,D32s_v3 ,0,DS15_v2,0.000884086348834631,20.0,140.0,30430.0
35,aljscmqaa3 ,24,32.9,D32s_v3 ,0,DS15_v2,0.000884086348834631,20.0,140.0,30430.0
36,aljscmsu ,48,32.9,D64s_v3 ,0,D48s_v3,0.0008389806048952049,48.0,192.0,52224.0
37,aljotprd ,16,32.9,D8s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
38,aljnlsdev ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
39,aljnlsprd ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
40,aljsccdev ,16,32.9,D4s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
41,aljsccmprd ,24,132.0,D4s_v3 ,0,DS15_v2,0.0005060265142495842,20.0,140.0,30430.0
42,aljsccqa ,24,132.0,D4s_v3 ,0,DS15_v2,0.0005060265142495842,20.0,140.0,30430.0
43,aljsccsprd ,16,32.9,D2s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
44,ALJWPBPRD ,16,32.9,D4s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
45,aljcpdev ,16,32.9,D4s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
46,aljcpprdn1 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
47,aljcpprdn2 ,8,32.9,D4s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
48,aljcpqa ,8,32.9,D4s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
49,aljhcmdev ,16,66.0,D16s_v3 ,0,D16s_v3,1.3257802747228818e-07,16.0,64.0,17420.0
50,aljhcmprd1 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
51,aljhcmprd2 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
52,aljhcmprda1 ,12,65.9,D16s_v3 ,0,E8s_v3,0.0005040249174798214,8.0,64.0,8710.0
53,aljhcmprda2 ,12,65.9,D16s_v3 ,0,E8s_v3,0.0005040249174798214,8.0,64.0,8710.0
54,aljhcmprda3 ,12,65.9,D16s_v3 ,0,E8s_v3,0.0005040249174798214,8.0,64.0,8710.0
55,aljhcmprda4 ,12,65.9,D16s_v3 ,0,E8s_v3,0.0005040249174798214,8.0,64.0,8710.0
56,aljhcmprddb ,32,132.0,D32s_v3 ,0,D32s_v3,5.303121098891527e-07,32.0,128.0,34840.0
57,aljhcmprddbc ,32,132.0,D32s_v3 ,0,D32s_v3,5.303121098891527e-07,32.0,128.0,34840.0
