azSeries;azVmName;vCPU;vMem;vSAPS;Enabled
Esv3;E2sv3;2;16;2178;TRUE
Esv3;E4sv3;4;32;4355;TRUE
Esv3;E8-4s_v3;4;64;4378;TRUE
Esv3;E8s_v3;8;64;8710;TRUE
Esv3;E16s_v3;16;128;17420;TRUE
Esv3;E20s_v3;20;160;21775;TRUE
Esv3;E32s_v3;32;256;34840;TRUE
Esv3;E38s_v3;48;384;52512;TRUE
Esv3;E64is_v3;64;432;70050;TRUE
Esv3;E64s_v3;64;432;70050;TRUE
Dsv3;D2s_v3;2;8;2178;TRUE
Dsv3;D4s_v3;4;16;4355;TRUE
Dsv3;D8s_v3;8;32;8710;TRUE
Dsv3;D16s_v3;16;64;17420;TRUE
Dsv3;D32s_v3;32;128;34840;TRUE
Dsv3;D48s_v3;48;192;52224;TRUE
Dsv3;D64s_v3;64;256;69680;TRUE
Easv4;E2as_v4;2;16;3022;FALSE
Easv4;E4as_v4;4;32;6044;FALSE
Easv4;E8as_v4;8;64;12088;FALSE
Easv4;E16as_v4;16;128;24175;FALSE
Easv4;E20as_v4;20;160;30219;FALSE
Easv4;E32as_v4;32;256;48350;FALSE
Easv4;E48as_v4;48;384;72525;FALSE
Easv4;E64as_v4;64;512;96700;FALSE
Dasv4;D2as_v4;2;8;3022;FALSE
Dasv4;D4as_v4;4;16;6044;FALSE
Dasv4;D8as_v4;8;32;12088;FALSE
Dasv4;D16as_v4;16;64;24175;FALSE
Dasv4;D32as_v4;32;128;48350;FALSE
Dasv4;D48as_v4;48;192;72525;FALSE
Dasv4;D64as_v4;64;256;96700;FALSE
M;M8ms;8;219;8616;TRUE
M;M16ms;16;438;17232;TRUE
M;M32ts;32;192;33670;TRUE
M;M32ls;32;256;33670;TRUE
M;M32ms;32;875;34465;TRUE
M;M64ls;64;512;66600;TRUE
M;M64s;64;1024;67315;TRUE
M;M64ms;64;1792;68930;TRUE
M;M128s;128;2048;134630;TRUE
M;M128ms;128;3892;134630;TRUE
Mv2;M208s_v2;208;2918;259950;FALSE
Mv2;M208ms_v2;208;5837;259950;FALSE
Mv2;M416s_v2;416;5837;488230;FALSE
Mv2;M416ms_v2;416;11674;488230;FALSE
DS;DS11;2;14;2325;TRUE
DS;DS12;4;28;4650;TRUE
DS;DS13;8;56;9300;TRUE
DS;DS14;16;112;18600;TRUE
DSv2;DS11_v2;2;14;3530;TRUE
DSv2;DS12_v2;4;28;6680;TRUE
DSv2;DS13_v2;8;56;12300;TRUE
DSv2;DS14_v2;16;112;24180;TRUE
DSv2;DS15_v2;20;140;30430;TRUE
