vmID;vCPU;vMem;vSAPS
E2sv3;2;16;2178
E4sv3;4;32;4355
E8-4s_v3;4;64;4378
E8s_v3;8;64;8710
E16s_v3;16;128;17420
E20s_v3;20;160;21775
E32s_v3;32;256;34840
E38s_v3;48;384;52512
E64is_v3;64;432;70050
E64s_v3;64;432;70050
D2s_v3;2;8;2178
D4s_v3;4;16;4355
D8s_v3;8;32;8710
D16s_v3;16;64;17420
D32s_v3;32;128;34840
D48s_v3;48;192;52224
D64s_v3;64;256;69680
E2as_v4;2;16;3022
E4as_v4;4;32;6044
E8as_v4;8;64;12088
E16as_v4;16;128;24175
E20as_v4;20;160;30219
E32as_v4;32;256;48350
E48as_v4;48;384;72525
E64as_v4;64;512;96700
D2as_v4;2;8;3022
D4as_v4;4;16;6044
D8as_v4;8;32;12088
D16as_v4;16;64;24175
D32as_v4;32;128;48350
D48as_v4;48;192;72525
D64as_v4;64;256;96700
M8ms;8;219;8616
M16ms;16;438;17232
M32ts;32;192;33670
M32ls;32;256;33670
M32ms;32;875;34465
M64ls;64;512;66600
M64s;64;1024;67315
M64ms;64;1792;68930
M128s;128;2048;134630
M128ms;128;3892;1234630
M208s_v2;208;2918;259950
M208ms_v2;208;5837;259950
M416s_v2;416;5837;488230
M416ms_v2;416;11674;488230
test1;3;9;3000
test2;5;9;3000
test3;1;9;3000
test4;2;9;3000
