,vmID,vCPU,vMem,vSAPS,targetVM,Error,tCPU,tMem,tSAPS
0,E2sv3,2,16,2178,E2sv3,0.0,2.0,16.0,2178.0
1,E4sv3,4,32,4355,E4sv3,0.0,4.0,32.0,4355.0
2,E8-4s_v3,4,64,4378,E8-4s_v3,0.0,4.0,64.0,4378.0
3,E8s_v3,8,64,8710,E8s_v3,0.0,8.0,64.0,8710.0
4,E16s_v3,16,128,17420,E16s_v3,0.0,16.0,128.0,17420.0
5,E20s_v3,20,160,21775,E20s_v3,0.0,20.0,160.0,21775.0
6,E32s_v3,32,256,34840,E32s_v3,0.0,32.0,256.0,34840.0
7,E38s_v3,48,384,52512,E38s_v3,0.0,48.0,384.0,52512.0
8,E64is_v3,64,432,70050,E64is_v3,0.0,64.0,432.0,70050.0
9,E64s_v3,64,432,70050,E64is_v3,0.0,64.0,432.0,70050.0
10,D2s_v3,2,8,2178,D2s_v3,0.0,2.0,8.0,2178.0
11,D4s_v3,4,16,4355,D4s_v3,0.0,4.0,16.0,4355.0
12,D8s_v3,8,32,8710,D8s_v3,0.0,8.0,32.0,8710.0
13,D16s_v3,16,64,17420,D16s_v3,0.0,16.0,64.0,17420.0
14,D32s_v3,32,128,34840,D32s_v3,0.0,32.0,128.0,34840.0
15,D48s_v3,48,192,52224,D48s_v3,0.0,48.0,192.0,52224.0
16,D64s_v3,64,256,69680,D64s_v3,0.0,64.0,256.0,69680.0
17,E2as_v4,2,16,3022,E2as_v4,0.0,2.0,16.0,3022.0
18,E4as_v4,4,32,6044,E4as_v4,0.0,4.0,32.0,6044.0
19,E8as_v4,8,64,12088,E8as_v4,0.0,8.0,64.0,12088.0
20,E16as_v4,16,128,24175,E16as_v4,0.0,16.0,128.0,24175.0
21,E20as_v4,20,160,30219,E20as_v4,0.0,20.0,160.0,30219.0
22,E32as_v4,32,256,48350,E32as_v4,0.0,32.0,256.0,48350.0
23,E48as_v4,48,384,72525,E48as_v4,0.0,48.0,384.0,72525.0
24,E64as_v4,64,512,96700,E64as_v4,0.0,64.0,512.0,96700.0
25,D2as_v4,2,8,3022,D2as_v4,0.0,2.0,8.0,3022.0
26,D4as_v4,4,16,6044,D4as_v4,0.0,4.0,16.0,6044.0
27,D8as_v4,8,32,12088,D8as_v4,0.0,8.0,32.0,12088.0
28,D16as_v4,16,64,24175,D16as_v4,0.0,16.0,64.0,24175.0
29,D32as_v4,32,128,48350,D32as_v4,0.0,32.0,128.0,48350.0
30,D48as_v4,48,192,72525,D48as_v4,0.0,48.0,192.0,72525.0
31,D64as_v4,64,256,96700,D64as_v4,0.0,64.0,256.0,96700.0
32,M8ms,8,219,8616,M8ms,0.0,8.0,219.0,8616.0
33,M16ms,16,438,17232,M16ms,0.0,16.0,438.0,17232.0
34,M32ts,32,192,33670,M32ts,0.0,32.0,192.0,33670.0
35,M32ls,32,256,33670,M32ls,0.0,32.0,256.0,33670.0
36,M32ms,32,875,34465,M32ms,0.0,32.0,875.0,34465.0
37,M64ls,64,512,66600,M64ls,0.0,64.0,512.0,66600.0
38,M64s,64,1024,67315,M64s,0.0,64.0,1024.0,67315.0
39,M64ms,64,1792,68930,M64ms,0.0,64.0,1792.0,68930.0
40,M128s,128,2048,134630,M128s,0.0,128.0,2048.0,134630.0
41,M128ms,128,3892,1234630,M416s_v2,0.9566377806465954,416.0,5837.0,488230.0
42,M208s_v2,208,2918,259950,M208s_v2,0.0,208.0,2918.0,259950.0
43,M208ms_v2,208,5837,259950,M208ms_v2,0.0,208.0,5837.0,259950.0
44,M416s_v2,416,5837,488230,M416s_v2,0.0,416.0,5837.0,488230.0
45,M416ms_v2,416,11674,488230,M416ms_v2,0.0,416.0,11674.0,488230.0
46,test1,3,9,3000,D2as_v4,1.947946120994179e-06,2.0,8.0,3022.0
47,test2,5,9,3000,D4s_v3,4.655377004788561e-06,4.0,16.0,4355.0
48,test3,1,9,3000,D2as_v4,1.947946120994179e-06,2.0,8.0,3022.0
49,test4,2,9,3000,D2as_v4,3.1321618975065917e-09,2.0,8.0,3022.0
